raceId,team,points,circuitId,year
465,Alfa Romeo,3.0,38,1983
442,Alfa Romeo,0.0,7,1984
442,Alfa Romeo,0.0,7,1984
443,Alfa Romeo,0.0,37,1984
443,Alfa Romeo,0.0,37,1984
444,Alfa Romeo,0.0,42,1984
444,Alfa Romeo,0.0,42,1984
1063,Alfa Romeo,0.0,13,2021
1063,Alfa Romeo,0.0,13,2021
445,Alfa Romeo,0.0,38,1984
445,Alfa Romeo,0.0,38,1984
446,Alfa Romeo,0.0,10,1984
1010,Alfa Romeo,4.0,1,2019
446,Alfa Romeo,0.0,10,1984
447,Alfa Romeo,0.0,70,1984
448,Alfa Romeo,0.0,39,1984
1064,Alfa Romeo,0.0,39,2021
1064,Alfa Romeo,0.0,39,2021
448,Alfa Romeo,0.0,39,1984
449,Alfa Romeo,4.0,14,1984
449,Alfa Romeo,0.0,14,1984
450,Alfa Romeo,1.0,20,1984
450,Alfa Romeo,0.0,20,1984
451,Alfa Romeo,0.0,27,1984
1065,Alfa Romeo,0.0,14,2021
447,Alfa Romeo,0.0,70,1984
1065,Alfa Romeo,0.0,14,2021
1010,Alfa Romeo,0.0,1,2019
1062,Alfa Romeo,1.0,11,2021
1016,Alfa Romeo,0.0,7,2019
1058,Alfa Romeo,0.0,70,2021
1016,Alfa Romeo,0.0,7,2019
439,Alfa Romeo,0.0,21,1984
1058,Alfa Romeo,0.0,70,2021
1015,Alfa Romeo,0.0,6,2019
1015,Alfa Romeo,0.0,6,2019
439,Alfa Romeo,0.0,21,1984
1014,Alfa Romeo,0.0,4,2019
1060,Alfa Romeo,0.0,70,2021
1060,Alfa Romeo,0.0,70,2021
1062,Alfa Romeo,0.0,11,2021
1014,Alfa Romeo,0.0,4,2019
1013,Alfa Romeo,0.0,73,2019
1013,Alfa Romeo,1.0,73,2019
440,Alfa Romeo,0.0,41,1984
1012,Alfa Romeo,0.0,17,2019
1012,Alfa Romeo,2.0,17,2019
1061,Alfa Romeo,0.0,9,2021
1061,Alfa Romeo,0.0,9,2021
1011,Alfa Romeo,0.0,3,2019
1011,Alfa Romeo,6.0,3,2019
441,Alfa Romeo,0.0,6,1984
441,Alfa Romeo,0.0,6,1984
440,Alfa Romeo,0.0,41,1984
451,Alfa Romeo,0.0,27,1984
452,Alfa Romeo,0.0,36,1983
1066,Alfa Romeo,4.0,71,2021
464,Alfa Romeo,0.0,14,1983
464,Alfa Romeo,0.0,14,1983
465,Alfa Romeo,0.0,38,1983
466,Alfa Romeo,6.0,30,1983
1071,Alfa Romeo,0.0,18,2021
1071,Alfa Romeo,0.0,18,2021
466,Alfa Romeo,0.0,30,1983
467,Alfa Romeo,0.0,30,1982
467,Alfa Romeo,0.0,30,1982
468,Alfa Romeo,0.0,36,1982
468,Alfa Romeo,0.0,36,1982
463,Alfa Romeo,0.0,39,1983
469,Alfa Romeo,0.0,43,1982
1051,Alfa Romeo,0.0,78,2021
1051,Alfa Romeo,0.0,78,2021
470,Alfa Romeo,0.0,21,1982
470,Alfa Romeo,0.0,21,1982
471,Alfa Romeo,0.0,40,1982
1072,Alfa Romeo,2.0,77,2021
471,Alfa Romeo,0.0,40,1982
472,Alfa Romeo,4.0,6,1982
1072,Alfa Romeo,0.0,77,2021
472,Alfa Romeo,0.0,6,1982
473,Alfa Romeo,0.0,37,1982
469,Alfa Romeo,0.0,43,1982
463,Alfa Romeo,2.0,39,1983
462,Alfa Romeo,0.0,70,1983
1070,Alfa Romeo,0.0,32,2021
452,Alfa Romeo,0.0,36,1983
453,Alfa Romeo,0.0,43,1983
453,Alfa Romeo,0.0,43,1983
454,Alfa Romeo,0.0,34,1983
1066,Alfa Romeo,0.0,71,2021
454,Alfa Romeo,0.0,34,1983
455,Alfa Romeo,0.0,21,1983
455,Alfa Romeo,0.0,21,1983
456,Alfa Romeo,1.0,6,1983
1067,Alfa Romeo,0.0,5,2021
1067,Alfa Romeo,0.0,5,2021
456,Alfa Romeo,0.0,6,1983
457,Alfa Romeo,0.0,13,1983
457,Alfa Romeo,0.0,13,1983
458,Alfa Romeo,0.0,37,1983
458,Alfa Romeo,0.0,37,1983
1069,Alfa Romeo,0.0,69,2021
459,Alfa Romeo,0.0,7,1983
1069,Alfa Romeo,0.0,69,2021
459,Alfa Romeo,0.0,7,1983
460,Alfa Romeo,0.0,9,1983
460,Alfa Romeo,0.0,9,1983
461,Alfa Romeo,6.0,10,1983
461,Alfa Romeo,0.0,10,1983
1070,Alfa Romeo,4.0,32,2021
438,Alfa Romeo,0.0,40,1984
473,Alfa Romeo,0.0,37,1982
438,Alfa Romeo,0.0,40,1984
1059,Alfa Romeo,0.0,34,2021
431,Alfa Romeo,0.0,14,1985
1041,Alfa Romeo,1.0,20,2020
426,Alfa Romeo,0.0,34,1985
1041,Alfa Romeo,0.0,20,2020
426,Alfa Romeo,0.0,34,1985
432,Alfa Romeo,0.0,13,1985
1042,Alfa Romeo,0.0,75,2020
1042,Alfa Romeo,0.0,75,2020
425,Alfa Romeo,0.0,37,1985
1043,Alfa Romeo,2.0,21,2020
1043,Alfa Romeo,1.0,21,2020
1040,Alfa Romeo,0.0,71,2020
425,Alfa Romeo,0.0,37,1985
1029,Alfa Romeo,10.0,18,2019
1044,Alfa Romeo,0.0,5,2020
1044,Alfa Romeo,0.0,5,2020
424,Alfa Romeo,0.0,7,1985
424,Alfa Romeo,0.0,7,1985
1045,Alfa Romeo,0.0,3,2020
1045,Alfa Romeo,0.0,3,2020
1029,Alfa Romeo,12.0,18,2019
1046,Alfa Romeo,0.0,3,2020
1046,Alfa Romeo,0.0,3,2020
1028,Alfa Romeo,0.0,69,2019
432,Alfa Romeo,0.0,13,1985
1047,Alfa Romeo,0.0,24,2020
431,Alfa Romeo,0.0,14,1985
427,Alfa Romeo,0.0,9,1985
1033,Alfa Romeo,0.0,11,2020
1033,Alfa Romeo,0.0,11,2020
430,Alfa Romeo,0.0,39,1985
1034,Alfa Romeo,0.0,9,2020
1034,Alfa Romeo,0.0,9,2020
429,Alfa Romeo,0.0,70,1985
429,Alfa Romeo,0.0,70,1985
1035,Alfa Romeo,0.0,9,2020
1035,Alfa Romeo,0.0,9,2020
1032,Alfa Romeo,0.0,70,2020
1036,Alfa Romeo,0.0,4,2020
1040,Alfa Romeo,0.0,71,2020
1036,Alfa Romeo,0.0,4,2020
1037,Alfa Romeo,0.0,13,2020
428,Alfa Romeo,0.0,20,1985
428,Alfa Romeo,0.0,20,1985
1037,Alfa Romeo,0.0,13,2020
1038,Alfa Romeo,0.0,14,2020
1038,Alfa Romeo,0.0,14,2020
1030,Alfa Romeo,0.0,24,2019
1030,Alfa Romeo,0.0,24,2019
1039,Alfa Romeo,2.0,76,2020
427,Alfa Romeo,0.0,9,1985
1039,Alfa Romeo,0.0,76,2020
1032,Alfa Romeo,0.0,70,2020
1028,Alfa Romeo,0.0,69,2019
423,Alfa Romeo,0.0,6,1985
1047,Alfa Romeo,0.0,24,2020
1023,Alfa Romeo,2.0,14,2019
435,Alfa Romeo,0.0,29,1985
1022,Alfa Romeo,0.0,13,2019
1022,Alfa Romeo,0.0,13,2019
436,Alfa Romeo,3.0,36,1984
1056,Alfa Romeo,1.0,6,2021
1056,Alfa Romeo,0.0,6,2021
436,Alfa Romeo,0.0,36,1984
1021,Alfa Romeo,0.0,11,2019
1021,Alfa Romeo,6.0,11,2019
420,Alfa Romeo,0.0,36,1985
1055,Alfa Romeo,0.0,4,2021
437,Alfa Romeo,3.0,30,1984
1057,Alfa Romeo,1.0,73,2021
1057,Alfa Romeo,0.0,73,2021
1020,Alfa Romeo,0.0,10,2019
1020,Alfa Romeo,0.0,10,2019
1019,Alfa Romeo,0.0,9,2019
1019,Alfa Romeo,4.0,9,2019
437,Alfa Romeo,0.0,30,1984
1018,Alfa Romeo,1.0,70,2019
1018,Alfa Romeo,2.0,70,2019
1059,Alfa Romeo,0.0,34,2021
1017,Alfa Romeo,0.0,34,2019
420,Alfa Romeo,0.0,36,1985
