"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
1,18,1,1,"22",1,"1","1",1,10,58,"1:34:50.616","5690616","39","2","1:27.452","218.300",1,"McLaren","British"
3,18,3,3,"7",7,"3","3",3,6,58,"+8.163","5698779","41","5","1:28.090","216.719",1,"Williams","British"
5,18,5,1,"23",3,"5","5",5,4,58,"+18.014","5708630","43","1","1:27.418","218.385",1,"McLaren","British"
6,18,6,3,"8",13,"6","6",6,3,57,"\N","\N","50","14","1:29.639","212.974",11,"Williams","British"
8,18,8,6,"1",15,"8","8",8,1,53,"\N","\N","20","4","1:27.903","217.180",5,"Ferrari","Italian"
13,18,13,6,"2",4,"\N","R",13,0,29,"\N","\N","23","6","1:28.175","216.510",5,"Ferrari","Italian"
14,18,14,9,"9",8,"\N","R",14,0,25,"\N","\N","21","11","1:29.502","213.300",4,"Red Bull","Austrian"
17,18,17,9,"10",14,"\N","R",17,0,0,"\N","\N","\N","\N","\N","\N",4,"Red Bull","Austrian"
23,19,8,6,"1",2,"1","1",1,10,56,"1:31:18.555","5478555","37","2","1:35.405","209.158",1,"Ferrari","Italian"
25,19,5,1,"23",8,"3","3",3,6,56,"+38.450","5517005","19","7","1:35.922","208.031",1,"McLaren","British"
27,19,1,1,"22",9,"5","5",5,4,56,"+46.548","5525103","53","3","1:35.462","209.033",1,"McLaren","British"
29,19,17,9,"10",6,"7","7",7,2,56,"+1:08.130","5546685","53","12","1:36.696","206.366",1,"Red Bull","Austrian"
31,19,14,9,"9",12,"9","9",9,0,56,"+1:16.220","5554775","55","9","1:36.206","207.417",1,"Red Bull","Austrian"
36,19,3,3,"7",16,"14","14",14,0,55,"\N","\N","55","13","1:36.782","206.182",11,"Williams","British"
39,19,6,3,"8",22,"17","17",17,0,54,"\N","\N","19","17","1:37.711","204.222",12,"Williams","British"
41,19,13,6,"2",1,"\N","R",19,0,30,"\N","\N","15","5","1:35.914","208.048",20,"Ferrari","Italian"
45,20,13,6,"2",2,"1","1",1,10,57,"1:31:06.970","5466970","38","3","1:33.600","208.153",1,"Ferrari","Italian"
46,20,8,6,"1",4,"2","2",2,8,57,"+3.339","5470309","35","4","1:33.709","207.911",1,"Ferrari","Italian"
49,20,5,1,"23",5,"5","5",5,4,57,"+26.789","5493759","49","1","1:33.193","209.062",1,"McLaren","British"
51,20,17,9,"10",11,"7","7",7,2,57,"+45.473","5512443","51","8","1:34.305","206.597",1,"Red Bull","Austrian"
52,20,3,3,"7",8,"8","8",8,1,57,"+55.889","5522859","57","6","1:34.072","207.109",1,"Williams","British"
57,20,1,1,"22",3,"13","13",13,0,56,"\N","\N","25","19","1:35.520","203.969",11,"McLaren","British"
58,20,6,3,"8",16,"14","14",14,0,56,"\N","\N","30","17","1:35.433","204.155",11,"Williams","British"
62,20,14,9,"9",17,"18","18",18,0,56,"\N","\N","43","16","1:35.351","204.331",11,"Red Bull","Austrian"
67,21,8,6,"1",1,"1","1",1,10,66,"1:38:19.051","5899051","46","1","1:21.670","205.191",1,"Ferrari","Italian"
68,21,13,6,"2",3,"2","2",2,8,66,"+3.228","5902279","45","2","1:21.801","204.863",1,"Ferrari","Italian"
69,21,1,1,"22",5,"3","3",3,6,66,"+4.187","5903238","20","3","1:22.017","204.323",1,"McLaren","British"
